engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
18,1,0.0007,-0.0004,100.0,518.67,642.23,1586.9,1395.19,14.62,21.61,554.57,2388.0,9074.23,1.3,47.13,521.9,2388.04,8149.13,8.4134,0.03,393,2388,100.0,39.04,23.3448
18,2,-0.0041,-0.0004,100.0,518.67,642.62,1576.4,1402.74,14.62,21.61,554.63,2388.04,9059.61,1.3,47.33,522.25,2387.94,8140.42,8.3985,0.03,392,2388,100.0,39.06,23.3568
18,3,0.003,-0.0002,100.0,518.67,642.13,1579.88,1403.75,14.62,21.6,555.12,2388.0,9065.54,1.3,47.01,522.41,2387.96,8141.15,8.3775,0.03,391,2388,100.0,39.08,23.4489
18,4,-0.0048,0.0004,100.0,518.67,641.94,1585.59,1399.06,14.62,21.61,553.87,2388.05,9066.36,1.3,47.32,522.13,2388.07,8146.09,8.3814,0.03,393,2388,100.0,38.96,23.4565
18,5,-0.0014,0.0003,100.0,518.67,642.33,1582.61,1402.02,14.62,21.61,554.18,2387.99,9065.38,1.3,47.26,522.23,2388.05,8150.46,8.4259,0.03,393,2388,100.0,38.97,23.3242
18,6,0.0,0.0004,100.0,518.67,642.1,1582.92,1390.88,14.62,21.61,554.41,2388.05,9063.68,1.3,47.08,522.05,2388.06,8148.8,8.3922,0.03,392,2388,100.0,39.0,23.4349
18,7,-0.0004,0.0004,100.0,518.67,642.15,1586.81,1400.13,14.62,21.61,554.46,2388.0,9069.35,1.3,47.35,522.22,2388.0,8142.92,8.4032,0.03,392,2388,100.0,38.99,23.4502
18,8,0.0011,-0.0003,100.0,518.67,642.27,1582.72,1402.36,14.62,21.61,554.11,2387.99,9069.97,1.3,47.18,522.52,2388.02,8146.85,8.4173,0.03,393,2388,100.0,38.97,23.387
18,9,-0.0016,-0.0001,100.0,518.67,642.19,1586.36,1399.04,14.62,21.61,554.68,2388.04,9068.38,1.3,47.27,522.13,2388.0,8148.79,8.4261,0.03,393,2388,100.0,38.97,23.4
18,10,-0.0005,-0.0004,100.0,518.67,642.1,1582.58,1392.6,14.62,21.61,554.67,2387.97,9062.35,1.3,47.35,522.59,2387.97,8149.55,8.3824,0.03,391,2388,100.0,38.96,23.4309
